pair,n_z2.0,winrate_z2.0_%,avgpnl_z2.0_%,,n_z2.5,winrate_z2.5_%,avgpnl_z2.5_%,,n_z3.0,winrate_z3.0_%,avgpnl_z3.0_%,,n_z3.5,winrate_z3.5_%,avgpnl_z3.5_%
METALS | NATIONALUM.NS/WELCORP.NS,106,41.5,-0.31,,44,40.9,-0.06,,12,50,0.44,,2,100,6.8
METALS | NMDC.NS/NATIONALUM.NS,87,57.5,0.28,,39,61.5,1.19,,11,63.6,1.76,,3,100,4.96
METALS | NMDC.NS/SAIL.NS,86,65.1,0.79,,44,59.1,0.42,,15,60,0.24,,3,33.3,-1.76
METALS | NMDC.NS/TATASTEEL.NS,82,62.2,0.59,,37,64.9,0.66,,16,56.2,-0.53,,5,80,2.24
METALS | NMDC.NS/VEDL.NS,89,64,1.01,,44,70.5,1.99,,18,55.6,0.8,,3,66.7,2.96
METALS | NMDC.NS/WELCORP.NS,106,48.1,0.28,,49,40.8,-0.11,,15,40,0.09,,1,0,-4
METALS | SAIL.NS/TATASTEEL.NS,84,64.3,0.46,,48,68.8,1.02,,19,84.2,2.19,,5,80,2.21
METALS | SAIL.NS/VEDL.NS,88,61.4,0.65,,42,50,-0.08,,18,61.1,0.74,,5,60,0.73
METALS | SAIL.NS/WELCORP.NS,101,41.6,-0.35,,47,40.4,-0.36,,16,12.5,-2.99,,1,0,-4
METALS | TATASTEEL.NS/VEDL.NS,75,65.3,0.71,,48,64.6,0.98,,15,60,0.93,,7,57.1,0.9
METALS | TATASTEEL.NS/WELCORP.NS,101,49.5,0.12,,38,50,0.25,,10,20,-2.08,,4,25,-1.56
METALS | VEDL.NS/WELCORP.NS,102,49,0.55,,41,46.3,0.72,,15,53.3,1.8,,3,66.7,4
NBFC | BAJAJFINSV.NS/ABCAPITAL.NS,82,45.1,-0.38,,35,51.4,-0.51,,17,47.1,-0.51,,3,66.7,0.47
NBFC | BAJAJFINSV.NS/CANFINHOME.NS,87,55.2,0.17,,51,52.9,-0.07,,17,52.9,0.16,,5,20,-1.6
NBFC | BAJAJFINSV.NS/CHOLAFIN.NS,83,61.4,0.49,,44,59.1,0.51,,18,50,0.27,,4,50,0.9
NBFC | BAJAJFINSV.NS/IIFL.NS,104,50,0.13,,50,36,-1,,24,33.3,-0.68,,7,14.3,-2.75
NBFC | BAJAJFINSV.NS/LICHSGFIN.NS,85,64.7,0.46,,47,55.3,0.2,,14,50,-0.24,,2,50,0.25
NBFC | BAJAJFINSV.NS/LTF.NS,83,50.6,0.14,,46,47.8,-0.07,,22,59.1,1.15,,3,66.7,1.7
NBFC | BAJAJFINSV.NS/M&MFIN.NS,83,57.8,0.16,,44,59.1,0.49,,18,61.1,1.53,,,,
NBFC | BAJAJFINSV.NS/MANAPPURAM.NS,93,55.9,0.26,,47,59.6,0.41,,20,50,-0.06,,8,50,-0.36
NBFC | BAJAJFINSV.NS/MUTHOOTFIN.NS,87,59.8,0.39,,43,55.8,0.11,,14,35.7,-1.3,,5,20,-2.19
NBFC | BAJAJFINSV.NS/PNBHOUSING.NS,93,50.5,0.13,,52,42.3,-0.13,,21,47.6,0.73,,7,28.6,-0.98
NBFC | BAJAJFINSV.NS/POONAWALLA.NS,99,50.5,0.22,,51,52.9,0.77,,15,53.3,1.28,,4,75,3.3
NBFC | BAJAJFINSV.NS/SHRIRAMFIN.NS,94,51.1,0.1,,48,41.7,-0.7,,19,47.4,0.06,,5,20,-2.32
NBFC | BAJAJFINSV.NS/SUNDARMFIN.NS,86,60.5,0.73,,48,70.8,1.38,,15,40,-1.31,,2,50,-1.18
NBFC | BAJFINANCE.NS/ABCAPITAL.NS,79,50.6,-0.18,,47,57.4,0.34,,19,63.2,0.64,,9,55.6,0.6
NBFC | BAJFINANCE.NS/BAJAJFINSV.NS,73,68.5,0.53,,42,71.4,0.89,,16,75,1.45,,5,60,0.93
NBFC | BAJFINANCE.NS/CANFINHOME.NS,87,57.5,0.37,,45,46.7,-0.32,,19,57.9,0.43,,2,0,-2.39
NBFC | BAJFINANCE.NS/CHOLAFIN.NS,84,71.4,1.12,,42,69,1.09,,16,62.5,0.89,,2,50,-0.78
NBFC | BAJFINANCE.NS/IIFL.NS,102,47.1,0,,58,37.9,-0.63,,24,29.2,-1.46,,9,33.3,-1.59
NBFC | BAJFINANCE.NS/LICHSGFIN.NS,88,58,0.13,,46,50,-0.29,,16,50,0.01,,5,20,-2.34
NBFC | BAJFINANCE.NS/LTF.NS,87,55.2,0.1,,50,52,-0.02,,17,64.7,1.62,,5,60,1.43
NBFC | BAJFINANCE.NS/M&MFIN.NS,81,61.7,0.62,,42,57.1,0.17,,19,47.4,-0.1,,6,50,-0.3
NBFC | BAJFINANCE.NS/MANAPPURAM.NS,82,64.6,0.76,,46,65.2,0.9,,22,63.6,0.77,,8,62.5,1.37
NBFC | BAJFINANCE.NS/MUTHOOTFIN.NS,83,66.3,0.98,,39,64.1,1.18,,15,60,0.24,,3,33.3,-0.53
NBFC | BAJFINANCE.NS/PNBHOUSING.NS,91,47.3,0.1,,43,32.6,-0.99,,15,40,0.06,,6,50,0.95
NBFC | BAJFINANCE.NS/POONAWALLA.NS,99,52.5,0.42,,43,44.2,-0.11,,12,58.3,1.72,,4,75,4.56
NBFC | BAJFINANCE.NS/SHRIRAMFIN.NS,92,46.7,-0.36,,46,43.5,-0.8,,14,42.9,-1.15,,5,20,-2.47
NBFC | BAJFINANCE.NS/SUNDARMFIN.NS,90,57.8,0.13,,42,54.8,0.02,,15,66.7,0.96,,4,100,4.9
NBFC | CANFINHOME.NS/ABCAPITAL.NS,81,64.2,0.99,,38,52.6,0.19,,15,46.7,-0.37,,3,66.7,1.45
NBFC | CANFINHOME.NS/IIFL.NS,97,55.7,0.97,,51,49,0.65,,16,37.5,-0.14,,5,40,0.41
NBFC | CANFINHOME.NS/LTF.NS,94,51.1,-0.04,,50,46,-0.52,,23,34.8,-1.22,,7,0,-4
NBFC | CANFINHOME.NS/M&MFIN.NS,85,58.8,0.64,,49,59.2,1.15,,17,52.9,0.44,,7,42.9,-0.22
NBFC | CANFINHOME.NS/MANAPPURAM.NS,92,47.8,-0.1,,40,55,0.69,,17,64.7,1.68,,7,42.9,0
NBFC | CANFINHOME.NS/MUTHOOTFIN.NS,81,51.9,0.16,,41,56.1,0.34,,10,40,-0.08,,3,66.7,2.66
NBFC | CANFINHOME.NS/POONAWALLA.NS,100,51,0.7,,48,56.2,1.33,,15,53.3,0.98,,5,60,2.09
NBFC | CANFINHOME.NS/SUNDARMFIN.NS,93,54.8,0.43,,49,51,-0.02,,17,47.1,0.08,,5,60,1.21
NBFC | CHOLAFIN.NS/ABCAPITAL.NS,74,52.7,0.39,,47,53.2,0.32,,17,58.8,1.07,,2,50,-0.55
